# Area_m2, Area_in2
5.067074790974976893e-04,7.853981633974482790e-01
4.898172297942477880e-04,7.592182246175334104e-01
4.729269804909978325e-04,7.330382858376184307e-01
4.560367311877478770e-04,7.068583470577033401e-01
4.391464818844979215e-04,6.806784082777883604e-01
4.222562325812480202e-04,6.544984694978734918e-01
4.053659832779980647e-04,6.283185307179585122e-01
3.884757339747481092e-04,6.021385919380435325e-01
3.715854846714981537e-04,5.759586531581285529e-01
3.546952353682481982e-04,5.497787143782134622e-01
3.378049860649982427e-04,5.235987755982984826e-01
3.209147367617482872e-04,4.974188368183835030e-01
3.040244874584983317e-04,4.712388980384685233e-01
2.871342381552484304e-04,4.450589592585535992e-01
2.702439888519985291e-04,4.188790204786387306e-01
2.533537395487486278e-04,3.926990816987238064e-01
2.364634902454986994e-04,3.665191429188088823e-01
2.195732409422487710e-04,3.403392041388939027e-01
2.026829916389988697e-04,3.141592653589789785e-01
1.857927423357489413e-04,2.879793265790640544e-01
1.689024930324990400e-04,2.617993877991491303e-01
1.520122437292491116e-04,2.356194490192341784e-01
1.351219944259992103e-04,2.094395102393192820e-01
1.182317451227492819e-04,1.832595714594043301e-01
1.013414958194993671e-04,1.570796326794894060e-01
8.445124651624945225e-05,1.308996938995744541e-01
6.756099721299952386e-05,1.047197551196595161e-01
5.067074790974960223e-05,7.853981633974456422e-02
3.378049860649968061e-05,5.235987755982962621e-02
1.689024930324975222e-05,2.617993877991467780e-02
-1.704504289927880316e-19,-2.641986933362081617e-16
